,_step,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step
41,41,147.784909767,1.1556,0.2912239134311676,0.00012421052631578949,0.0026407205394614816,1752365658.012103,42
42,42,151.317817723,1.8085,0.30516719818115234,0.00012210526315789474,0.0027035948380200884,1752365661.5453286,43
43,43,154.144909421,1.3512,0.2756688594818115,0.00012,0.002766469136578695,1752365664.3725476,44
44,44,157.316555325,1.2034,0.26639482378959656,0.00011789473684210525,0.002829343435137302,1752365667.543205,45
45,45,159.79880517,1.285,0.303223580121994,0.00011578947368421053,0.0028922177336959086,1752365670.0263608,46
46,46,162.500263651,1.458,0.31701886653900146,0.0001136842105263158,0.0029550920322545153,1752365672.727913,47
47,47,166.47706026,1.6081,0.2821817100048065,0.00011157894736842105,0.0030179663308131217,1752365676.7046285,48
48,48,169.743608102,2.0329,0.26351141929626465,0.00010947368421052633,0.0030808406293717284,1752365679.9711394,49
49,49,173.575283449,1.2705,0.3276241719722748,0.00010736842105263158,0.003143714927930335,1752365683.8027375,50
50,50,176.022631456,2.1513,0.42223137617111206,0.00010526315789473685,0.003206589226488942,1752365686.2501485,51
51,51,179.102392798,1.2402,0.27898186445236206,0.00010315789473684211,0.0032694635250475486,1752365689.3298957,52
52,52,182.525738776,1.5197,0.45399343967437744,0.00010105263157894738,0.0033323378236061554,1752365692.7531872,53
53,53,185.919705435,1.3163,0.31787756085395813,9.894736842105263e-05,0.003395212122164762,1752365696.147329,54
54,54,189.191991469,1.0141,0.30565935373306274,9.68421052631579e-05,0.003458086420723369,1752365699.4194412,55
55,55,192.669615593,1.1637,0.265380859375,9.473684210526316e-05,0.0035209607192819756,1752365702.8969426,56
56,56,195.492866919,1.939,0.36173325777053833,9.263157894736843e-05,0.0035838350178405824,1752365705.7205012,57
57,57,197.667617025,1.7378,0.5484178066253662,9.052631578947369e-05,0.003646709316399189,1752365707.8950572,58
